"flavor","frequency","avg_score","avg_price"
"citrus","18023","88.18","251.97"
"cherry","14714","88.32","329.31"
"berry","11957","87.97","303.46"
"oak","10374","88.36","348.02"
"spice","9972","88.69","310.56"
"vanilla","6128","88.27","319.14"
"apple","5523","87.73","239.64"
"licorice","4702","89.66","414.65"
"apricot","3720","88.42","279.69"
"cinnamon","2925","89.43","364.22"
"espresso","2060","89.09","418.59"
"caramel","2048","88.27","343.77"
"pepper","1728","88.07","319.75"
"coconut","654","88.81","382.46"
"leather","593","87.53","352.09"
"eucalyptus","472","89.76","396.63"
"quince","186","88.80","266.13"
"fennel","47","89.19","287.87"
