"country","variety","avg_score","avg_price"
"Argentina","Syrah-Malbec","89.00","140.00"
"Argentina","Shiraz-Malbec","90.00","160.00"
"Argentina","Cabernet-Syrah","88.00","160.00"
"Australia","Port","88.00","130.00"
"Australia","Sangiovese","88.00","158.00"
"Australia","Muscadelle","89.50","160.00"
"Austria","Syrah","89.00","130.00"
"Austria","Muskat","88.00","130.00"
"Austria","Furmint","91.50","145.00"
"Chile","Gew?rztraminer-Riesling","88.00","110.00"
"Chile","Sauvignon Blanc-Semillon","88.00","120.00"
"Chile","Moscatel","88.00","130.00"
"France","Merlot-Grenache","89.00","100.00"
"France","Clairette","88.00","120.00"
"France","Merlot-Cabernet","88.00","120.00"
"Germany","Pinot Grigio","88.00","130.00"
"Germany","M?ller-Thurgau","90.00","190.00"
"Germany","Auxerrois","89.00","195.00"
"Italy","Nuragus","88.33","160.00"
"Italy","Champagne Blend","88.33","165.56"
"Italy","Caprettone","92.00","190.00"
"Portugal","Maria Gomes","88.00","110.00"
"Portugal","Shiraz","90.33","130.00"
"Portugal","Tinta Cao","90.00","140.00"
"Spain","Grenache-Syrah","88.00","133.33"
"Spain","Cabernet Sauvignon-Merlot","88.44","164.44"
"Spain","Monastrell-Petit Verdot","88.00","195.00"
"US","Piquepoul Blanc","88.00","130.00"
"US","Melon","88.00","150.00"
"US","White Riesling","88.58","159.17"
